id_etudiant,nom,prenom,age,sexe,absenteisme,yeux_rouges,sautes_humeur,changement_amis,stress_academique,substances_declarees
E001,Martin,Lucas,19,M,0.25,False,2,False,7,[]
E002,Dubois,Emma,20,F,0.10,False,1,False,9,[]
E003,Bernard,Noah,22,M,0.85,True,5,True,3,"['cannabis', 'alcool', 'cocaine']"
E004,Petit,Chloé,21,F,0.60,True,4,True,5,"[]"
E005,Robert,Léo,18,M,0.15,False,2,True,8,"['alcool']"
E006,Richard,Lina,23,F,0.90,True,5,True,2,"['cannabis', 'alcool']"
E007,Durand,Mathis,20,M,0.45,True,3,False,6,"['cannabis']"
E008,Moreau,Jade,19,F,0.05,False,1,False,10,[]
E009,Laurent,Adam,21,M,0.70,True,4,True,4,"['alcool']"
E010,Simon,Maëlys,22,F,0.30,False,2,True,7,"['alcool']"
E011,Michel,Théo,20,M,0.55,True,3,False,6,"['cannabis']"
E012,Lefebvre,Camille,18,F,0.95,True,5,True,1,"['cannabis', 'alcool']"
E013,Leroy,Sacha,23,M,0.20,False,2,False,8,[]
E014,Roux,Manon,21,F,0.80,True,4,True,5,"['alcool']"
E015,David,Enzo,19,M,0.35,False,3,False,7,"['alcool']"
E016,Fournier,Léa,20,F,0.15,False,1,False,9,[]
E017,Morel,Louise,22,F,0.75,True,4,True,3,"['cannabis', 'alcool']"
E018,Girard,Nathan,19,M,0.40,False,2,True,8,"['alcool']"
E019,Bonnet,Alice,21,F,0.65,True,4,False,5,"[]"
E020,Fontaine,Tom,20,M,0.10,False,1,False,10,[]
E021,Faure,Inès,23,F,0.85,True,5,True,2,"['alcool']"
E022,Dupont,Alex,18,M,0.25,False,2,True,7,"['alcool']"
E023,Masson,Juliette,21,F,0.50,True,3,False,6,"[]"
E024,Lemaire,Victor,22,M,0.70,True,4,True,4,"['alcool']"
E025,Garnier,Zoé,19,F,0.05,False,1,False,10,[]
E026,Rousseau,Hugo,20,M,0.80,True,5,True,3,"['cannabis', 'cocaine']"
E027,Vidal,Romane,23,F,0.30,False,2,False,8,"['alcool']"
E028,Aubert,Louis,21,M,0.60,True,3,True,6,"['cannabis']"
E029,Colin,Sarah,19,F,0.90,True,5,True,1,"['alcool']"
E030,Lacroix,Maxime,22,M,0.15,False,1,False,9,[]
